horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,fold,model,landmark
0.4061758433779081,188,46,28,0,,,,1,jmstate,0.3708520382642746
0.44149964849154155,188,46,28,1,0.6097560975609756,0.5813953488372093,0.026429712639585254,1,jmstate,0.3708520382642746
0.47682345360517503,188,46,28,2,0.7793082646001822,0.75685633906627,0.046480586133544353,1,jmstate,0.3708520382642746
0.5121472587188085,188,46,28,3,0.8557426560454141,0.8101366403804078,0.058996275429656644,1,jmstate,0.3708520382642746
0.5474710638324419,188,46,28,4,0.9130794654036714,0.8302905761710058,0.06933059479062002,1,jmstate,0.3708520382642746
0.5827948689460755,188,46,28,4,0.9150615801453961,0.8302905761710058,0.06672271006492383,1,jmstate,0.3708520382642746
0.6181186740597089,188,46,28,4,0.9173170900239105,0.8302905761710058,0.06509492159751465,1,jmstate,0.3708520382642746
0.6534424791733424,188,46,28,4,0.9138671515315446,0.8238519059410214,0.06570645879511679,1,jmstate,0.3708520382642746
0.6887662842869758,188,46,28,5,0.9078984638439009,0.7841961041482027,0.07746800108787728,1,jmstate,0.3708520382642746
0.7240900894006093,188,46,28,5,0.9035126764078962,0.7841961041482027,0.07437990434515312,1,jmstate,0.3708520382642746
0.7594138945142428,188,46,28,5,0.898688310228291,0.7841961041482027,0.07195804464733711,1,jmstate,0.3708520382642746
0.7947376996278763,188,46,28,5,0.9022835876565439,0.7841961041482027,0.07019512084550619,1,jmstate,0.3708520382642746
0.8300615047415097,188,46,28,5,0.8965355634010465,0.7792830492462144,0.07056421974473119,1,jmstate,0.3708520382642746
0.8653853098551432,188,46,28,5,0.9120552288908895,0.7852175566008319,0.061583856724317834,1,jmstate,0.3708520382642746
0.9007091149687767,188,46,28,5,0.9410781476002064,0.7887519944040037,0.0575260310208904,1,jmstate,0.3708520382642746
0.9360329200824101,188,46,28,6,1.0,0.8330893914335509,0.0712606705937501,1,jmstate,0.3708520382642746
0.9713567251960437,188,46,28,6,1.0,0.8325322611486894,0.06725372548951698,1,jmstate,0.3708520382642746
1.006680530309677,188,46,28,6,1.0,0.8325322611486894,0.06408227380602141,1,jmstate,0.3708520382642746
1.0420043354233106,188,46,28,6,1.0,0.8359460836097861,0.06180318711779134,1,jmstate,0.3708520382642746
